X,Y,Type,Orientation
0.727162,0.0,Lane,1.5707963267948966
2.892401,0.0,Lane,1.5707963267948966
5.1362499999999995,0.0,Lane,1.5707963267948966
6.65755,0.0,Lane,1.5707963267948966
6.99825,0.0,Lane,1.5707963267948966
17.10155,0.0,Lane,1.5707963267948966
15.67955,0.0,Lane,1.5707963267948966
16.25105,0.0,Lane,1.5707963267948966
0.35929,0.0,Lane,4.71238898038469
2.51945,0.0,Lane,4.71238898038469
4.768050000000001,0.0,Lane,4.71238898038469
15.312829,0.0,Lane,4.71238898038469
15.31075,0.0,Lane,4.71238898038469
0.0,13.05155,Lane,0.0
0.0,10.40625,Lane,0.0
0.0,0.356341,Lane,0.0
0.0,0.9244500000000001,Lane,0.0
0.0,3.64461,Lane,0.0
0.0,6.534050000000001,Lane,0.0
0.0,10.40625,Lane,0.0
0.0,11.80635,Lane,0.0
0.0,13.462174000000001,Lane,3.141592653589793
0.0,10.78055,Lane,3.141592653589793
0.0,4.0113,Lane,3.141592653589793
0.0,0.72908,Lane,3.141592653589793
0.0,4.01365,Lane,3.141592653589793
0.0,6.90055,Lane,3.141592653589793
0.0,13.425550000000001,Lane,3.141592653589793
0.0,12.17955,Lane,3.141592653589793
15.927887999999998,11.658377,Intersection,4.71238898038469
15.31245,4.5543000000000005,Intersection,4.71238898038469
15.312926000000001,1.4715,Intersection,4.71238898038469
4.768050000000001,4.555964,Intersection,4.71238898038469
4.76675,1.2743,Intersection,4.71238898038469
2.51945,1.2743,Intersection,4.71238898038469
2.52245,4.5583,Intersection,4.71238898038469
0.35929,4.559200000000001,Intersection,4.71238898038469
0.35929,7.444975,Intersection,4.71238898038469
0.35929,10.5583,Intersection,4.71238898038469
0.727162,9.0984,Intersection,1.5707963267948966
0.727162,5.988169999999999,Intersection,1.5707963267948966
0.727162,3.09715,Intersection,1.5707963267948966
2.892401,3.09715,Intersection,1.5707963267948966
2.892401,5.986,Intersection,1.5707963267948966
5.1362499999999995,5.9837,Intersection,1.5707963267948966
5.1362499999999995,3.0957,Intersection,1.5707963267948966
6.6302900000000005,3.4683100000000002,Intersection,1.5707963267948966
16.251549999999998,9.531,Intersection,1.5707963267948966
17.1314,10.78055,Intersection,3.141592653589793
1.2703,4.0113,Intersection,3.141592653589793
3.4286,4.013187,Intersection,3.141592653589793
5.6843,4.01365,Intersection,3.141592653589793
5.682300000000001,6.90055,Intersection,3.141592653589793
3.429,6.90205,Intersection,3.141592653589793
1.2703,6.902304,Intersection,3.141592653589793
7.542852000000001,4.01495,Intersection,3.141592653589793
3.43054,0.72908,Intersection,3.141592653589793
16.2228,4.01535,Intersection,3.141592653589793
1.97645,0.356341,Intersection,0.0
1.97645,3.64645,Intersection,0.0
1.9757,6.534050000000001,Intersection,0.0
4.220459999999999,6.53345,Intersection,0.0
4.220459999999999,3.64461,Intersection,0.0
4.220344,0.356286,Intersection,0.0
14.7643,0.9238000000000001,Intersection,0.0
15.008700000000001,10.40625,Intersection,0.0
15.057500000000003,4.631,Sign,4.71238898038469
15.057976000000002,1.5482,Sign,4.71238898038469
4.5131000000000006,4.632664,Sign,4.71238898038469
4.5118,1.351,Sign,4.71238898038469
2.2644999999999995,1.351,Sign,4.71238898038469
2.2674999999999996,4.635,Sign,4.71238898038469
0.10433999999999999,4.6359,Sign,4.71238898038469
0.10433999999999999,7.521675,Sign,4.71238898038469
0.10433999999999999,10.635,Sign,4.71238898038469
0.982112,9.0217,Sign,1.5707963267948966
0.982112,5.91147,Sign,1.5707963267948966
0.982112,3.02045,Sign,1.5707963267948966
3.1473510000000005,3.02045,Sign,1.5707963267948966
3.1473510000000005,5.9093,Sign,1.5707963267948966
5.3911999999999995,5.907,Sign,1.5707963267948966
5.3911999999999995,3.0189999999999997,Sign,1.5707963267948966
6.8861,3.39161,Sign,1.5707963267948966
17.208099999999998,11.035499999999997,Sign,3.141592653589793
1.347,4.26625,Sign,3.141592653589793
3.5053,4.268137,Sign,3.141592653589793
5.761,4.2686,Sign,3.141592653589793
5.759,7.1555,Sign,3.141592653589793
3.5057,7.157,Sign,3.141592653589793
1.347,7.157254,Sign,3.141592653589793
7.6195520000000005,4.2699,Sign,3.141592653589793
3.5072400000000004,0.9840300000000001,Sign,3.141592653589793
16.2995,4.2703,Sign,3.141592653589793
1.89975,0.10139100000000001,Sign,0.0
1.89975,3.3914999999999997,Sign,0.0
1.899,6.279100000000001,Sign,0.0
4.143759999999999,6.2785,Sign,0.0
4.143759999999999,3.3896599999999997,Sign,0.0
4.143644,0.10133599999999998,Sign,0.0
14.6876,0.6688500000000001,Sign,0.0
8.93675,0.687367,Parking,0.0
8.93675,1.1611999999999998,Parking,0.0
14.92409,10.155166,Roundabout,0.0
16.507834,9.466389999999999,Roundabout,1.5707963267948966
17.21761,11.035834000000001,Roundabout,3.141592653589793
15.629166,11.744351,Roundabout,4.71238898038469
8.1425,0.7032999999999999,Crosswalk,0.0
1.171,9.3476,Crosswalk,0.0
1.785,10.2394,Crosswalk,3.141592653589793
9.546000000000001,4.2364,Crosswalk,3.141592653589793
15.0866,3.0349999999999997,Crosswalk,4.71238898038469
4.5461,7.9625,Crosswalk,4.71238898038469
17.3324,2.2880000000000003,Crosswalk,1.5707963267948966
5.4504,7.3525,Crosswalk,1.5707963267948966
6.3477,11.56,Highway Entrance,0.0
14.35,11.03,Highway Entrance,3.141592653589793
13.63,9.7,Highway Exit,0.0
7.0845,12.9,Highway Exit,3.141592653589793
5.38,0.123,Oneway,0.0
14.76,4.28,Oneway,3.141592653589793
9.4,1.33,Car,0.0
9.4,0.64,Car,3.141592653589793
10.94,1.33,Car,3.141592653589793
12.5,0.63,Car,3.141592653589793
15.65,6.04,Car,1.5707963267948966
19.75,10.52,Car,0.4874
10.91,10.7,Car,-0.612
9.97,11.64,Car,2.622
3.5,9.77,Car,-0.34
4.865,9.2,Car,2.05
12.056,4.04,Car,3.07
3.947,6.54,Car,0.0
18.76,13.475999999999999,Destination,0.0
16.28,11.836,Destination,0.0
19.06,10.766,Destination,0.0
17.18,10.416,Destination,0.0
16.25,9.425999999999998,Destination,0.0
15.87,9.475999999999999,Destination,0.0
14.7,10.376,Destination,0.0
14.7,10.796,Destination,0.0
6.32,12.186,Destination,0.0
5.51,11.806,Destination,0.0
1.75,12.186,Destination,0.0
1.29,10.026,Destination,0.0
0.72,9.085999999999999,Destination,0.0
0.35,7.505999999999999,Destination,0.0
0.74,2.8859999999999992,Destination,0.0
0.87,1.0060000000000002,Destination,0.0
0.51,0.8559999999999999,Destination,0.0
1.94,0.38599999999999923,Destination,0.0
3.45,0.7560000000000002,Destination,0.0
4.21,0.37599999999999945,Destination,0.0
2.51,3.096,Destination,0.0
1.93,4.045999999999999,Destination,0.0
2.88,4.635999999999999,Destination,0.0
14.71,4.036,Destination,0.0
5.95,6.936,Destination,0.0
4.76,7.505999999999999,Destination,0.0
7.47,4.036,Destination,0.0
6.61,3.5459999999999994,Destination,0.0
5.71,4.045999999999999,Destination,0.0
7.79,0.9359999999999999,Destination,0.0
8.92,0.9260000000000002,Destination,0.0
13.09,0.9459999999999997,Destination,0.0
15.29,1.565999999999999,Destination,0.0
16.71,3.926,Destination,0.0
15.29,4.6259999999999994,Destination,0.0
